acc_rating;amen;bed_type;cancel_policy;checkin_rating;cleanliness_rating;communication_rating;guest_sat;hosting_id;instant_book;is_superhost;loc_rating;lat;lon;page;person_cap;pic_count;room_type;saved_to_wishlist_count;value_rating;rev_count;price
10;[1, 2, 3, 4, 21, 30, 31, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47];Real Bed;3;10;10;10;100;16779078;True;False;10;37.78878412078672;-122.4069459450851;p3;4;9;Private room;32;10;1;139.0
10;[1, 3, 4, 5, 8, 16, 27, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47];Real Bed;5;10;10;10;100;8943055;True;True;10;37.767618393863316;-122.43747973509556;p3;2;22;Private room;136;10;17;185.0
9;[1, 2, 3, 4, 5, 8, 9, 11, 17, 18, 27, 28, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47];Real Bed;5;10;10;10;100;10885556;False;True;10;37.74670224965058;-122.43579220488303;p3;2;17;Private room;46;10;7;150.0
10;[3, 4, 5, 6, 8, 12, 14, 15, 16, 21, 27, 28, 30, 31, 32, 33, 34, 35, 36, 40, 41, 42, 43, 44, 45, 46, 47, 50];Real Bed;4;9;10;10;100;3355334;False;False;10;37.77618998217098;-122.41406517659468;p3;2;12;Private room;35;10;4;150.0
10;[1, 2, 4, 14, 21, 30, 31, 33, 34, 35, 40, 41, 43, 44, 45, 46, 47];Real Bed;3;10;10;10;95;9154591;False;False;10;37.78583004453674;-122.40550324701977;p3;2;5;Private room;70;10;16;159.0
10;[1, 3, 4, 8, 15, 21, 28, 30, 33, 34, 35, 36, 38, 40, 43, 44, 46, 47, 49, 50];Real Bed;4;10;10;10;100;12932903;True;True;10;37.77333997239155;-122.41973429459557;p3;1;25;Private room;67;10;18;169.0
10;[1, 2, 3, 4, 8, 16, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 56];Real Bed;4;10;10;10;100;10603148;True;False;10;37.79564578826337;-122.41871403144687;p3;2;35;Private room;50;10;11;155.0
10;[1, 2, 4, 5, 8, 17, 18, 30, 31, 33, 34, 35, 39, 40, 41, 44, 45, 46, 50];Real Bed;4;10;9;10;95;8101297;True;False;10;37.80193533001893;-122.44016675535958;p3;2;13;Private room;471;9;106;139.0
10;[4, 5, 7, 8, 14, 15, 16, 21, 25, 30, 33, 34, 35, 36, 37, 40, 41, 42, 44, 45, 46, 47, 49, 50];Real Bed;3;10;10;10;100;15569673;True;False;10;37.7873529247553;-122.39122422019526;p3;2;19;Private room;182;10;8;145.0
10;[1, 3, 4, 8, 17, 19, 30, 33, 34, 35, 36, 40, 41, 43, 45, 46, 47, 49, 50];Pull-out Sofa;3;10;10;10;98;8682945;False;True;10;37.75999396771012;-122.44130285120747;p3;1;13;Private room;49;10;19;140.0
10;[1, 3, 4, 6, 8, 12, 33, 34, 35, 37, 40, 41, 45, 46, 49, 50];Real Bed;4;10;10;10;99;51073;True;True;10;37.771163291931664;-122.42199475971246;p3;2;14;Private room;733;10;127;140.0
9;[3, 4, 8, 30, 35, 36, 40, 43, 44, 49, 50];Real Bed;5;10;9;10;92;13901471;True;False;10;37.770301591887005;-122.45233959089218;p3;2;5;Private room;34;10;13;250.0
